epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3940.72,0.49512,0.45949,1.08554,0.98808,0.99714,0.99459,0.91194,0.44471,0.23664,0.91623,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4057.61,0.49424,0.45481,1.0866,0.99007,0.99596,0.99423,0.91567,0.43358,0.23666,0.91172,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4177.65,0.4941,0.46332,1.08725,0.98874,0.99552,0.99454,0.91633,0.4321,0.23174,0.9061,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4296.07,0.48514,0.44388,1.08128,0.9905,0.99564,0.9947,0.91282,0.42734,0.22295,0.9005,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4414.5,0.48377,0.44662,1.08202,0.99201,0.99059,0.99426,0.91244,0.43169,0.23224,0.90613,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4535.11,0.47725,0.43065,1.07685,0.99293,0.99057,0.99421,0.91689,0.42271,0.22135,0.89487,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4655,0.47792,0.43176,1.07736,0.99101,0.99473,0.99461,0.91713,0.42193,0.22237,0.89548,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4772.67,0.47941,0.43551,1.07765,0.98966,0.99469,0.99424,0.91453,0.42969,0.23078,0.90135,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4893.84,0.47361,0.42548,1.07323,0.99333,0.99533,0.99452,0.91772,0.42425,0.2149,0.89815,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5015.68,0.48051,0.43017,1.08777,0.98867,0.99482,0.99415,0.91704,0.422,0.22205,0.89137,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5133.35,0.46906,0.41508,1.07404,0.99033,0.99766,0.99472,0.9196,0.41976,0.21792,0.8865,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5253.64,0.46902,0.40803,1.06806,0.98943,0.99727,0.99445,0.91905,0.41872,0.21207,0.88848,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5373.66,0.46692,0.41327,1.06635,0.99317,0.9969,0.99471,0.91877,0.41315,0.20581,0.88257,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5493.61,0.46187,0.40369,1.06886,0.99536,0.99172,0.9947,0.91884,0.41684,0.20825,0.88624,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5614.55,0.46377,0.4041,1.0688,0.99215,0.99461,0.99418,0.92017,0.41574,0.21076,0.88835,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5736.89,0.46174,0.39453,1.06617,0.99037,0.99528,0.99422,0.92154,0.41195,0.2109,0.88157,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5856.5,0.46539,0.39893,1.06815,0.99099,0.99628,0.99447,0.91978,0.41726,0.20906,0.88596,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5976.42,0.46601,0.3951,1.07057,0.99448,0.98985,0.99449,0.91972,0.4181,0.20998,0.8939,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6095.41,0.45335,0.38514,1.06024,0.99059,0.99775,0.9948,0.92171,0.40791,0.20289,0.87708,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6213.05,0.45872,0.38929,1.06367,0.9918,0.99662,0.99478,0.92054,0.41006,0.20248,0.8761,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6332.41,0.45304,0.3843,1.06086,0.99523,0.99186,0.99449,0.92271,0.40841,0.20484,0.87639,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,6454.2,0.45439,0.38413,1.0596,0.99196,0.99705,0.99458,0.92123,0.41328,0.20493,0.87968,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6572.05,0.45427,0.38978,1.06161,0.99061,0.99719,0.99444,0.92283,0.40976,0.2054,0.88273,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6692.5,0.45029,0.36898,1.05508,0.98894,0.99667,0.99422,0.92055,0.41007,0.20435,0.88299,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6812.41,0.44486,0.37027,1.05426,0.9911,0.99575,0.99484,0.92091,0.40805,0.20236,0.87977,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6932.25,0.44379,0.36832,1.05564,0.99324,0.99657,0.99484,0.923,0.41031,0.20344,0.88284,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,7053.45,0.44091,0.36632,1.05112,0.99478,0.9966,0.99487,0.92182,0.41109,0.20008,0.88415,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
